,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
182,TTWK000559852,2022/5/20 13:30:14,2022/5/20 13:31:53,TRUE,1.644816667,1,42532,42532
183,TTWK000542784,2022/5/20 13:31:13,2022/5/20 13:32:22,TRUE,1.152033333,1,42550,42550
184,TTWK000559853,2022/5/20 13:32:02,2022/5/20 13:34:41,TRUE,2.6496,1,42532,42532
185,TTWK000542788,2022/5/20 13:32:39,2022/5/20 13:33:29,TRUE,0.8384666667,1,42550,42550
186,TTWK000542785,2022/5/20 13:33:43,2022/5/20 13:35:30,TRUE,1.7808,1,42550,42550
187,TTWK000542781,2022/5/20 13:35:07,2022/5/20 13:36:12,TRUE,1.072966667,1,42532,42532
188,TTWK000538714,2022/5/20 13:36:26,2022/5/20 13:36:55,TRUE,0.4805666667,1,42532,42532
189,TTWK000536489,2022/5/20 13:36:34,2022/5/20 13:42:00,TRUE,5.433,1,42550,42550
190,TTWK000559856,2022/5/20 13:37:12,2022/5/20 13:39:13,TRUE,2.016,1,42436,42436
191,TTWK000559855,2022/5/20 13:37:12,2022/5/20 13:39:34,TRUE,2.36625,1,42532,42532
192,TTWK000542780,2022/5/20 13:39:49,2022/5/20 13:40:00,TRUE,0.1926,1,42436,42436
193,TTWK000542778,2022/5/20 13:40:14,2022/5/20 13:40:24,TRUE,0.1560333333,1,42436,42436
194,TTWK000536488,2022/5/20 13:40:15,2022/5/20 13:43:45,TRUE,3.490283333,1,42532,42532
195,TTWK000542779,2022/5/20 13:40:42,2022/5/20 13:41:36,TRUE,0.91415,1,42436,42436
196,TTWK000536445,2022/5/20 13:42:20,2022/5/20 13:48:28,TRUE,6.143416667,1,42550,42550
197,TTWK000536491,2022/5/20 13:43:50,2022/5/20 13:48:47,TRUE,4.944066667,1,42436,42436
198,TTWK000542798,2022/5/20 13:44:02,2022/5/20 13:45:14,TRUE,1.203883333,1,42532,42532
199,TTWK000542799,2022/5/20 13:45:24,2022/5/20 13:46:12,TRUE,0.80515,1,42532,42532
200,TTWK000542800,2022/5/20 13:46:21,2022/5/20 13:47:43,TRUE,1.3537,1,42532,42532
201,TTWK000542801,2022/5/20 13:47:55,2022/5/20 13:49:39,TRUE,1.731066667,1,42532,42532
202,TTWK000542802,2022/5/20 13:48:03,2022/5/20 13:49:29,TRUE,1.420016667,1,42532,42532
203,TTWK000542791,2022/5/20 13:48:51,2022/5/20 13:49:56,TRUE,1.080166667,1,42550,42550
204,TTWK000542790,2022/5/20 13:50:09,2022/5/20 13:50:50,TRUE,0.6883333333,1,42550,42550
205,TTWK000559863,2022/5/20 13:50:16,2022/5/20 13:52:41,TRUE,2.410166667,1,42532,42532
206,TTWK000542804,2022/5/20 13:50:27,2022/5/20 13:52:26,TRUE,1.985133333,1,42532,42532
207,TTWK000538717,2022/5/20 13:50:48,2022/5/20 13:51:01,TRUE,0.2034,1,42436,42436
208,TTWK000542789,2022/5/20 13:51:02,2022/5/20 13:51:55,TRUE,0.8822666667,1,42550,42550
209,TTWK000559859,2022/5/20 13:52:01,2022/5/20 13:52:25,TRUE,0.403,1,42436,42436
210,TTWK000542797,2022/5/20 13:52:09,2022/5/20 13:53:20,TRUE,1.18565,1,42550,42550
211,TTWK000559862,2022/5/20 13:52:49,2022/5/20 13:54:46,TRUE,1.9483,1,42532,42532
212,TTWK000559857,2022/5/20 13:53:24,2022/5/20 13:53:37,TRUE,0.21975,1,42436,42436
213,TTWK000542795,2022/5/20 13:53:40,2022/5/20 13:54:37,TRUE,0.9427333333,1,42550,42550
214,TTWK000538715,2022/5/20 13:54:01,2022/5/20 13:54:43,TRUE,0.7130166667,1,42436,42436
215,TTWK000542796,2022/5/20 13:54:47,2022/5/20 13:55:48,TRUE,1.008883333,1,42550,42550
216,TTWK000559861,2022/5/20 13:55:08,2022/5/20 13:56:22,TRUE,1.244466667,1,42532,42532
217,TTWK000559858,2022/5/20 13:56:32,2022/5/20 13:57:24,TRUE,0.8743,1,42550,42550
218,TTWK000538718,2022/5/20 13:57:00,2022/5/20 13:59:35,TRUE,2.585733333,1,42532,42532
219,TTWK000536490,2022/5/20 13:57:48,2022/5/20 14:01:29,TRUE,3.68405,1,42550,42550
220,TTWK000559860,2022/5/20 13:59:49,2022/5/20 14:00:46,TRUE,0.9487166667,1,42532,42532
221,TTWK000542805,2022/5/20 13:59:58,2022/5/20 14:00:56,TRUE,0.96105,1,42532,42532
222,TTWK000542813,2022/5/20 14:01:17,2022/5/20 14:02:37,TRUE,1.341716667,1,42532,42532
223,TTWK000536492,2022/5/20 14:02:34,2022/5/20 14:18:57,TRUE,16.38088333,1,42550,42550
224,TTWK000542837,2022/5/20 14:02:51,2022/5/20 14:04:01,TRUE,1.175233333,1,42532,42532
225,TTWK000536493,2022/5/20 14:04:00,2022/5/20 14:06:08,TRUE,2.149066667,1,42436,42436
226,TTWK000559866,2022/5/20 14:04:14,2022/5/20 14:04:51,TRUE,0.61715,1,42532,42532
227,TTWK000542808,2022/5/20 14:04:24,2022/5/20 14:06:27,TRUE,2.06,1,42532,42532
228,TTWK000542810,2022/5/20 14:08:43,2022/5/20 14:09:03,TRUE,0.32385,1,42532,42532
